"street_name","accident_street","total_accident","percent_accident_street"
"Channing Road","4","238421","0.00"
"Cunningham Park","2","238421","0.00"
"John F Kennedy Expressway","1","238421","0.00"
"West 213 Street","1","238421","0.00"
"Federal Plaza","1","238421","0.00"
"Sound Street","3","238421","0.00"
"Walbrooke Avenue","2","238421","0.00"
"St Pauls Place","1","238421","0.00"
"Curtis Place","1","238421","0.00"
"Paerdegat 7 Street","5","238421","0.00"
"Bristol Avenue","4","238421","0.00"
"59 Road","1","238421","0.00"
"69Th St","1","238421","0.00"
"Lansing Avenue","5","238421","0.00"
"Burr Avenue","1","238421","0.00"
"Lowe Court","2","238421","0.00"
"Grand Central","1","238421","0.00"
"Sharrott Avenue","2","238421","0.00"
"Benchley Place","5","238421","0.00"
"Caney Lane","6","238421","0.00"
"East Lake Drive","3","238421","0.00"
"203Rd Street","1","238421","0.00"
"Southern Parkway","6","238421","0.00"
"Sixth Avenue","2","238421","0.00"
"Pineapple Street","5","238421","0.00"
"Long Pond Lane","1","238421","0.00"
"Cross Bay Parkway","6","238421","0.00"
"Bronx River Parkway Road","1","238421","0.00"
"Sheridan Place","1","238421","0.00"
"Harrison Street","2","238421","0.00"
"Carroll","1","238421","0.00"
"Lucas Street","10","238421","0.00"
"Curtis Street","7","238421","0.00"
"177 Place","2","238421","0.00"
"Beach 27 Street","4","238421","0.00"
"Oceanic Avenue","5","238421","0.00"
"Dieterle Crescent","1","238421","0.00"
"Beach 65 Street","8","238421","0.00"
"Bay 16 Street","11","238421","0.00"
"Selfridge Street","9","238421","0.00"
"Raleigh Place","3","238421","0.00"
"Rchmond Road","1","238421","0.00"
"E Tremont Ave","1","238421","0.00"
"Marconi St","1","238421","0.00"
"Louis Place","5","238421","0.00"
"Winham Avenue","2","238421","0.00"
"Eames Place","2","238421","0.00"
"Parkview Loop","1","238421","0.00"
"Kearney Street","3","238421","0.00"
"Ebony Court","2","238421","0.00"
"Coombs Street","2","238421","0.00"
"Matthews Place","1","238421","0.00"
"Wilsonview Place","2","238421","0.00"
"Marine Parkway","5","238421","0.00"
"Marginal Street","7","238421","0.00"
"Brevoort Place","7","238421","0.00"
"Clinton Place","6","238421","0.00"
"Bills Place","2","238421","0.00"
"Judith Court","1","238421","0.00"
"Anderson Road","2","238421","0.00"
"Wards Island","1","238421","0.00"
"Gee Avenue","1","238421","0.00"
"Beach 54  Street","1","238421","0.00"
"Beach 56 Place","5","238421","0.00"
"77 Place","4","238421","0.00"
"Claude Avenue","4","238421","0.00"
"Hurst Street","1","238421","0.00"
"Albee Square Mall","1","238421","0.00"
"Deerfield Road","8","238421","0.00"
"Crown Avenue","2","238421","0.00"
"Dekalb Street","3","238421","0.00"
"Moultrie Street","5","238421","0.00"
"Bayclub Drive","1","238421","0.00"
"West Bedford Park Boulevard","3","238421","0.00"
"W 23 Street","1","238421","0.00"
"Brooklyn Queens Expressway Wes","5","238421","0.00"
"West Alley Road","5","238421","0.00"
"Boody Street","2","238421","0.00"
"Neal Dow Avenue","9","238421","0.00"
"W 42 Street","1","238421","0.00"
"Comstock Avenue","4","238421","0.00"
"Carter Avenue","9","238421","0.00"
"Throgs Neck Boulevard","2","238421","0.00"
"223 Place","7","238421","0.00"
"Meadow Drive","2","238421","0.00"
"Hungry Harbor Road","5","238421","0.00"
"Stage Lane","1","238421","0.00"
"Martha Avenue","5","238421","0.00"
"S/B Bowery","1","238421","0.00"
"Sunset Avenue","3","238421","0.00"
"Beach 12 Street","9","238421","0.00"
"183 Place","2","238421","0.00"
"Bruckner Blvd & Saint Anns","1","238421","0.00"
"Witthoff Street","1","238421","0.00"
"Honeywell Street","7","238421","0.00"
"Shaughnessy Lane","2","238421","0.00"
"Varian Avenue","3","238421","0.00"
"Lorillard Place","10","238421","0.00"
"Ludlum Avenue","1","238421","0.00"
"Central Road","3","238421","0.00"
"Justin Avenue","2","238421","0.00"
"Edward Curry Ave","2","238421","0.00"
"Greentree Lane","1","238421","0.00"
"Francis Lewis Blvd","1","238421","0.00"
"Amanda Court","1","238421","0.00"
"Riedel Avenue","2","238421","0.00"
"Pond Place","5","238421","0.00"
"269 Street","1","238421","0.00"
"Bogert Avenue","1","238421","0.00"
"Samuel Dickstein Plaza","1","238421","0.00"
"Lynn Court","1","238421","0.00"
"Astor Place","2","238421","0.00"
"Bethel Loop","7","238421","0.00"
"Clifton Avenue","10","238421","0.00"
"Beach 40 Street","3","238421","0.00"
"Kyle Court","1","238421","0.00"
"Washington Square Village","1","238421","0.00"
"Ackerman Street","1","238421","0.00"
"Beach 81 Street","4","238421","0.00"
"133 Place","1","238421","0.00"
"Greenpoinit Avenue","1","238421","0.00"
"112 Place","3","238421","0.00"
"Denker Place","3","238421","0.00"
"Langdale Street","7","238421","0.00"
"Folin Street","5","238421","0.00"
"Horatio Parkway","3","238421","0.00"
"Andrews Street","2","238421","0.00"
"Linnaeus Place","1","238421","0.00"
"Benham Street","2","238421","0.00"
"Posen Street","1","238421","0.00"
"176 Place","1","238421","0.00"
"Cortlandt Street","2","238421","0.00"
"Dunkirk Drive","7","238421","0.00"
"Rockville Avenue","1","238421","0.00"
"Olmsted Drive","1","238421","0.00"
"43 Road","9","238421","0.00"
"Cliff Street","5","238421","0.00"
"Village Road North","3","238421","0.00"
"Vancortlandt Park S","1","238421","0.00"
"Brighton 12 Street","9","238421","0.00"
"Amador Street","5","238421","0.00"
"Sapphire Street","4","238421","0.00"
"Vine Street","2","238421","0.00"
"Locke Avenue","1","238421","0.00"
"St. James Place","1","238421","0.00"
"Xenia Street","8","238421","0.00"
"Cassidy Place","2","238421","0.00"
"Mangin Street","1","238421","0.00"
"Irwin Avenue","11","238421","0.00"
"East 191 Street","8","238421","0.00"
"Bishop Street","1","238421","0.00"
"Lisa Place","1","238421","0.00"
"Oakley Place","1","238421","0.00"
"West Oceana Drive","1","238421","0.00"
"West Mosholu Parkway North","5","238421","0.00"
"Fordham Place","1","238421","0.00"
"Murdock Court","2","238421","0.00"
"Lyndale Avenue","2","238421","0.00"
"West 203 Street","1","238421","0.00"
"Seeley Street","9","238421","0.00"
"Crest Road","2","238421","0.00"
"Herkimer Place","2","238421","0.00"
"Aspen Knoll Way","5","238421","0.00"
"Woods Place","1","238421","0.00"
"Barry Street","11","238421","0.00"
"Wood Street","6","238421","0.00"
"Willett Avenue","11","238421","0.00"
"West Terrace","1","238421","0.00"
"60 Av","1","238421","0.00"
"Sutton Place","2","238421","0.00"
"North 6Th Street","1","238421","0.00"
"Bodine Street","1","238421","0.00"
"Oceanside Avenue","1","238421","0.00"
"Bancroft Avenue","8","238421","0.00"
"Silverlake Road","1","238421","0.00"
"Rice Avenue","2","238421","0.00"
"Carmine Street","10","238421","0.00"
"Paerdegat Avenue South","1","238421","0.00"
"Drake Street","8","238421","0.00"
"Beach 80 Street","2","238421","0.00"
"Rome Avenue","2","238421","0.00"
"Spencer Drive","3","238421","0.00"
"Bentley Street","1","238421","0.00"
"Notus Avenue","1","238421","0.00"
"195 Lane","2","238421","0.00"
"Quay Street","4","238421","0.00"
"Stephens Court","5","238421","0.00"
"West 220 Street","4","238421","0.00"
"72 Place","9","238421","0.00"
"Platt Street","5","238421","0.00"
"Spratt Avenue","4","238421","0.00"
"Virgil Place","4","238421","0.00"
"Railroad Avenue","1","238421","0.00"
"Federal Place","1","238421","0.00"
"Homestead Avenue","1","238421","0.00"
"Winfield Avenue","4","238421","0.00"
"Gilbert Street","1","238421","0.00"
"Sharon Avenue","1","238421","0.00"
"Brevoort Street","4","238421","0.00"
"Bennett Street","4","238421","0.00"
"Pilling Street","7","238421","0.00"
"Fdr Drive South","1","238421","0.00"
"Van Courtlandt Park South","2","238421","0.00"
"Remsen Street","8","238421","0.00"
"Clason Point Lane South","1","238421","0.00"
"Huxley Street","6","238421","0.00"
"Lightner Avenue","1","238421","0.00"
"Schroeders Ave","4","238421","0.00"
"West 239 Street","11","238421","0.00"
"Grinnell Place","3","238421","0.00"
"41 Drive","3","238421","0.00"
"Kepler Avenue","2","238421","0.00"
"Little Bay Road","2","238421","0.00"
"Gallatin Place","2","238421","0.00"
"Beach 123 Street","1","238421","0.00"
"Clarkson Street","11","238421","0.00"
"Robert F Kennedy Bridge","1","238421","0.00"
"Cedar Lawn Avenue","1","238421","0.00"
"Lloyd Street","2","238421","0.00"
"Riverside Dr","4","238421","0.00"
"South Conduit Boulevard","1","238421","0.00"
"Avon Street","10","238421","0.00"
"Rockaway Beach Blvd","1","238421","0.00"
"Albany Street","10","238421","0.00"
"Austin Place","4","238421","0.00"
"Second Avenue","1","238421","0.00"
"Dekruif Place","3","238421","0.00"
"72 Drive","9","238421","0.00"
"Mohegan Avenue","8","238421","0.00"
"Goldsmith Street","1","238421","0.00"
"Boat Basin","1","238421","0.00"
"Ruby Street","2","238421","0.00"
"Bedell Avenue","3","238421","0.00"
"Little West 12 Street","3","238421","0.00"
"Putnam Street","1","238421","0.00"
"Archer Ave","1","238421","0.00"
"147 Drive","3","238421","0.00"
"Soundview Lane","1","238421","0.00"
"Grafe Street","1","238421","0.00"
"Montague Street","8","238421","0.00"
"Hering Avenue","9","238421","0.00"
"St Marks Place","1","238421","0.00"
"Columbus Place","1","238421","0.00"
"Schroeders Avenue","5","238421","0.00"
"Torrice Loop","1","238421","0.00"
"Astoria Blvd","3","238421","0.00"
"Fox Lane","1","238421","0.00"
"Nautilus Avenue","1","238421","0.00"
"Overing Street","5","238421","0.00"
"West 17 Road","4","238421","0.00"
"Bonx River Ave","1","238421","0.00"
"Tenth Avenue","1","238421","0.00"
"Beechwood Avenue","1","238421","0.00"
"Kimball Street","10","238421","0.00"
"98 Avenue","3","238421","0.00"
"Livonia Ave","1","238421","0.00"
"W 57 Street","1","238421","0.00"
"Roman Avenue","1","238421","0.00"
"W 99Th Street","1","238421","0.00"
"Delevan Street","5","238421","0.00"
"East 243 Street","8","238421","0.00"
"Barbadoes Drive","1","238421","0.00"
"Alonzo Road","1","238421","0.00"
"Couch Place","1","238421","0.00"
"Baisley Ave","1","238421","0.00"
"80Th Street","1","238421","0.00"
"St George Road","1","238421","0.00"
"St Marks Avenue","1","238421","0.00"
"Cryders Lane","2","238421","0.00"
"Gouverneur Street","4","238421","0.00"
"Dillon Street","4","238421","0.00"
"Center Market Street","2","238421","0.00"
"Third Avenue And East 14Th Stree","1","238421","0.00"
"Quarry Road","3","238421","0.00"
"Little Nassau Street","1","238421","0.00"
"Boulder Street","1","238421","0.00"
"127 Place","3","238421","0.00"
"Sheridan Expressway Ramp","3","238421","0.00"
"Putnam Place","2","238421","0.00"
"Purdy Street","7","238421","0.00"
"Cambridge Place","4","238421","0.00"
"Aaron Lane","2","238421","0.00"
"Adam Clayton Powell Blvd","2","238421","0.00"
"Washington Square South","5","238421","0.00"
"Mosholu Parkway North","2","238421","0.00"
"Degroot Place","1","238421","0.00"
"42Rd","1","238421","0.00"
"221 Place","3","238421","0.00"
"Summerfield Street","5","238421","0.00"
"42Nd St","1","238421","0.00"
"Vireo Avenue","6","238421","0.00"
"Victor Street","4","238421","0.00"
"Roosevelt Drive & Delancey Stree","1","238421","0.00"
"Beach 46 Street","1","238421","0.00"
"130 Road","2","238421","0.00"
"Ramapo Avenue","1","238421","0.00"
"De Costa Avenue","3","238421","0.00"
"Rohr Place","1","238421","0.00"
"Murial Court","1","238421","0.00"
"Bolivar Street","3","238421","0.00"
"Beaumont Street","1","238421","0.00"
"Daffodil Lane","1","238421","0.00"
"236 Street","6","238421","0.00"
"Astoria Blvd S","1","238421","0.00"
"Kensington Avenue","5","238421","0.00"
"Sutphin Blvd","1","238421","0.00"
"Cedarcroft Road","2","238421","0.00"
"Reservoir Place","2","238421","0.00"
"Hoyt Ave N","1","238421","0.00"
"Suffolk Avenue","1","238421","0.00"
"Boyd Avenue","4","238421","0.00"
"Little Clove Road","10","238421","0.00"
"Nixon Avenue","1","238421","0.00"
"Mosholu Parkway Extension","1","238421","0.00"
"Schofield Street","1","238421","0.00"
"235-237 W 145Th St","1","238421","0.00"
"St.Marks Avenue","2","238421","0.00"
"Schenck Street","5","238421","0.00"
"N Bridge St","1","238421","0.00"
"Aquatic Drive","2","238421","0.00"
"128 Avenue","10","238421","0.00"
"Spritz Road","2","238421","0.00"
"Beach 31 Street","6","238421","0.00"
"Hooper Avenue","1","238421","0.00"
"Rockaway Pkwy","1","238421","0.00"
"Calloway Street","8","238421","0.00"
"Lawton Street","8","238421","0.00"
"Coleridge Street","2","238421","0.00"
"Barlow Drive North","1","238421","0.00"
"Kingsborough 6 Walk","2","238421","0.00"
"Amherst Street","3","238421","0.00"
"Cedargrove Court","1","238421","0.00"
"Baruch Drive","6","238421","0.00"
"Merry Avenue","3","238421","0.00"
"Foothill Avenue","6","238421","0.00"
"Pompey Avenue","4","238421","0.00"
"Eastern Pkwy","1","238421","0.00"
"Mitchell Place","1","238421","0.00"
"Dea Court","1","238421","0.00"
"Reservoir Oval East","11","238421","0.00"
"Burgher Avenue","4","238421","0.00"
"Coral Reef Way","1","238421","0.00"
"Randalls Island","6","238421","0.00"
"Ocean Avenune","1","238421","0.00"
"Kew Forest Lane","8","238421","0.00"
"Mc Kenny Street","1","238421","0.00"
"Redwood Loop","2","238421","0.00"
"Joseph  P Ward","1","238421","0.00"
"Taipei Court","2","238421","0.00"
"Chester Court","1","238421","0.00"
"Everton Avenue","1","238421","0.00"
"Sussex Green","1","238421","0.00"
"Bay 31 Street","5","238421","0.00"
"Maurice Ave","1","238421","0.00"
"Simonson Avenue","10","238421","0.00"
"Wayne Avenue","10","238421","0.00"
"Davis Avenue","9","238421","0.00"
"Slocum Place","1","238421","0.00"
"Ferndale Avenue","6","238421","0.00"
"Deisius Street","1","238421","0.00"
"Oak Street","2","238421","0.00"
"Liberty Ave","2","238421","0.00"
"Echo Place","4","238421","0.00"
"Sinclair Avenue","2","238421","0.00"
"Ketcham Street","6","238421","0.00"
"Duane Court","1","238421","0.00"
"W 140 Street","1","238421","0.00"
"Ellwell Crescent","2","238421","0.00"
"Sampson Avenue","7","238421","0.00"
"Hugh Grant Circle","9","238421","0.00"
"Davenport Avenue","1","238421","0.00"
"Beekman Avenue","2","238421","0.00"
"Halsley Street","1","238421","0.00"
"W28","1","238421","0.00"
"Centreville Avenue","9","238421","0.00"
"Cadman Plaza East","6","238421","0.00"
"Reeves Avenue","5","238421","0.00"
"109-21","1","238421","0.00"
"98 Place","3","238421","0.00"
"270 Street","3","238421","0.00"
"217 Lane","6","238421","0.00"
"Brighton 4 Road","1","238421","0.00"
"Kramer Street","2","238421","0.00"
"214 Riverside Drive","1","238421","0.00"
"Dongan Hills Avenue","1","238421","0.00"
"Lasalle Avenue","5","238421","0.00"
"Borage Place","2","238421","0.00"
"Walnut Street","1","238421","0.00"
"Sunrise Court","1","238421","0.00"
"Orchard Beach","2","238421","0.00"
"Seafoam Street","1","238421","0.00"
"Caroline Street","1","238421","0.00"
"Delavall Avenue","5","238421","0.00"
"Thornton Place","1","238421","0.00"
"Laurel Avenue","7","238421","0.00"
"Hausman Street","4","238421","0.00"
"Dooley Street","1","238421","0.00"
"South 6 Street","8","238421","0.00"
"Arthur Kill","2","238421","0.00"
"West Shore Expressway Ramp","4","238421","0.00"
"Hollers Avenue","10","238421","0.00"
"North Boundary Rd","1","238421","0.00"
"Stecher Street","1","238421","0.00"
"Pople Avenue","4","238421","0.00"
"Bialystoker Pl","1","238421","0.00"
"W 230 St","1","238421","0.00"
"Marginal St West","1","238421","0.00"
"Peter Cooper Road","1","238421","0.00"
"Jamaica Bay Wildlife Refuge","1","238421","0.00"
"Weller Avenue","3","238421","0.00"
"Queens Midtown Express Way","1","238421","0.00"
"239 Street","1","238421","0.00"
"Coverly Avenue","1","238421","0.00"
"Village Road","2","238421","0.00"
"Coursen Place","3","238421","0.00"
"Police Plaza","10","238421","0.00"
"Beach 84 Street","4","238421","0.00"
"Waters Avenue","3","238421","0.00"
"Beacon Court","1","238421","0.00"
"Shore Drive","2","238421","0.00"
"Simonson Street","1","238421","0.00"
"Fieldston Terrace","1","238421","0.00"
"87 Drive","4","238421","0.00"
"Coleman Street","9","238421","0.00"
"Collins Place","1","238421","0.00"
"Powell Boulevard","3","238421","0.00"
"Willoughby Ave","1","238421","0.00"
"Astoria Park South","2","238421","0.00"
"Bascom Avenue","2","238421","0.00"
"Mathias Avenue","4","238421","0.00"
"Royce Place","2","238421","0.00"
"54 Place","3","238421","0.00"
"Bryson Avenue","1","238421","0.00"
"Worthen Street","5","238421","0.00"
"St Nicholas Avneue","1","238421","0.00"
"Seton Place","7","238421","0.00"
"Emerald Street","2","238421","0.00"
"Longstreet Avenue","6","238421","0.00"
"Gary Place","2","238421","0.00"
"Rector Place","4","238421","0.00"
"Rockwood Street","2","238421","0.00"
"Sprague Avenue","4","238421","0.00"
"Malbone Street","1","238421","0.00"
"Macombs Dam Bridge Approach","1","238421","0.00"
"Kinsella Street","2","238421","0.00"
"Beekman Street","8","238421","0.00"
"Hell Gate Circle","1","238421","0.00"
"Mcarthur Avenue","3","238421","0.00"
"Naraganset Avenue","4","238421","0.00"
"West 217 Street","2","238421","0.00"
"Beach 85 Street","4","238421","0.00"
"Meadow Road","1","238421","0.00"
"Hollis Hills Terrace","2","238421","0.00"
"Florence Street","1","238421","0.00"
"Pershing Crescent","6","238421","0.00"
"Davis Street","4","238421","0.00"
"Pennsylvania Plaza","9","238421","0.00"
"Thurston Street","4","238421","0.00"
"Stockton Street","1","238421","0.00"
"St Johns Place","4","238421","0.00"
"Payson Avenue","11","238421","0.00"
"Carlton Boulevard","3","238421","0.00"
"Cooper Steeet","1","238421","0.00"
"Weeks Lane","1","238421","0.00"
"Brighton 15 Street","4","238421","0.00"
"W/B Marina Road","1","238421","0.00"
"Whitehall Street","10","238421","0.00"
"19 Drive","1","238421","0.00"
"Rathbun Avenue","7","238421","0.00"
"Belmont Ave","1","238421","0.00"
"Bedell Lane","1","238421","0.00"
"Beach 36 Street","3","238421","0.00"
"Tuckerton St","1","238421","0.00"
"Parkchester Road","3","238421","0.00"
"Leeds Street","1","238421","0.00"
"Fonda Avenue","1","238421","0.00"
"Berwick Place","1","238421","0.00"
"West 196 Street","2","238421","0.00"
"Fleet Street","6","238421","0.00"
"Tunnel Exit St","1","238421","0.00"
"Hoyt Ave South","2","238421","0.00"
"Reilly Blvd","1","238421","0.00"
"Beach 94 Street","7","238421","0.00"
"Union Avnue","1","238421","0.00"
"124 Place","1","238421","0.00"
"Wolcott Avenue","1","238421","0.00"
"Academy Place","2","238421","0.00"
"Astoria Boulevard North","3","238421","0.00"
"Craven Street","1","238421","0.00"
"Bruckner Blvd","4","238421","0.00"
"35Th Avenue","1","238421","0.00"
"Hugh J Grant Cr","1","238421","0.00"
"Aurelia Court","1","238421","0.00"
"Essex Drive","5","238421","0.00"
"Love Lane","1","238421","0.00"
"Waverly Pl","1","238421","0.00"
"Sable Avenue","1","238421","0.00"
"Adams Place","5","238421","0.00"
"Delancey Place","1","238421","0.00"
"Dikeman Street","4","238421","0.00"
"Geranium Avenue","1","238421","0.00"
"Mazeau Street","1","238421","0.00"
"58 Place","8","238421","0.00"
"Acacia Avenue","1","238421","0.00"
"Jumel Terrace","2","238421","0.00"
"150Th Street","1","238421","0.00"
"Arthur Kill Rd","1","238421","0.00"
"Georgia Road","1","238421","0.00"
"126 Place","2","238421","0.00"
"166 Place","1","238421","0.00"
"Cobek Court","1","238421","0.00"
"Shaler Avenue","2","238421","0.00"
"Garrett Place","1","238421","0.00"
"Trans- Manhattan Expressway","1","238421","0.00"
"6 Road","1","238421","0.00"
"Palma Drive","5","238421","0.00"
"Victory Blvd","1","238421","0.00"
"Flint Street","1","238421","0.00"
"Beach 20","1","238421","0.00"
"210 Place","2","238421","0.00"
"Allendale Road","2","238421","0.00"
"Venderbilt Avenue","1","238421","0.00"
"114 Place","7","238421","0.00"
"Pontiac Street","1","238421","0.00"
"15 Road","2","238421","0.00"
"163 Place","1","238421","0.00"
"Reeve Place","2","238421","0.00"
"118 Road","6","238421","0.00"
"39Avenue","1","238421","0.00"
"Sheldon Ave","1","238421","0.00"
"Giles Place","10","238421","0.00"
"Vleigh Place","7","238421","0.00"
"6Th Street","1","238421","0.00"
"Staff Street","4","238421","0.00"
"Beach 106 Street","1","238421","0.00"
"Kimberly Place","1","238421","0.00"
"Frawley Circle","1","238421","0.00"
"3605 Sedgwick Ave","1","238421","0.00"
"Palisade Avenue","9","238421","0.00"
"Foster Ave","2","238421","0.00"
"West 98 Street","8","238421","0.00"
"Seguine Place","2","238421","0.00"
"Woehrle Avenue","4","238421","0.00"
"Fdr Service Road","2","238421","0.00"
"Kermit Avenue","2","238421","0.00"
"Hudson Manor Terrace","3","238421","0.00"
"Hillcrest Street","4","238421","0.00"
"Lewmay Road","1","238421","0.00"
"Hawtree Street","6","238421","0.00"
"Hubbard Place","2","238421","0.00"
"Beach Breeze Lane","2","238421","0.00"
"Marianne Street","1","238421","0.00"
"Transverse Road Number Two","11","238421","0.00"
"Monaco Place","1","238421","0.00"
"68 Place","2","238421","0.00"
"39 Drive","2","238421","0.00"
"3 Ave","1","238421","0.00"
"Saint Lukes Place","1","238421","0.00"
"St Anns Ave","2","238421","0.00"
"Conduit Avenue","2","238421","0.00"
"Silver Road","1","238421","0.00"
"119 Road","9","238421","0.00"
"Continental Avenue","3","238421","0.00"
"8Th Avenue","1","238421","0.00"
"Cardinal Spellman Place","2","238421","0.00"
"East 59 Place","1","238421","0.00"
"Meadow Lake Bridge","1","238421","0.00"
"New York Plaza","1","238421","0.00"
"Deppe Place","1","238421","0.00"
"Governors Island","1","238421","0.00"
"Dewey Place","2","238421","0.00"
"Western Avenue","10","238421","0.00"
"Rodman Place","2","238421","0.00"
"Windsor Road","6","238421","0.00"
"Antin Place","5","238421","0.00"
"Grosvenor Road","4","238421","0.00"
"Nassau Boulevard","2","238421","0.00"
"Rhine Avenue","1","238421","0.00"
"Auburndale Lane","2","238421","0.00"
"Bardley Avenue","1","238421","0.00"
"Colonial Avenue","2","238421","0.00"
"Beach 9Th Street","2","238421","0.00"
"Old Farmers Lane","2","238421","0.00"
"Conduit Blvd","1","238421","0.00"
"West 227 Street","3","238421","0.00"
"West 156 Street","11","238421","0.00"
"Edkoch Bridge","1","238421","0.00"
"Haring Street","8","238421","0.00"
"South End Avenue","6","238421","0.00"
"E 34 Street","1","238421","0.00"
"62 Road","7","238421","0.00"
"Douglass Boulevard","1","238421","0.00"
"Vestry Street","4","238421","0.00"
"150 Road","2","238421","0.00"
"Granger Street","9","238421","0.00"
"Woodhaven Blvd","1","238421","0.00"
"Regis Drive","4","238421","0.00"
"Elmtree Avenue","2","238421","0.00"
"Navy Pier Court","6","238421","0.00"
"Waterside Plaza","9","238421","0.00"
"Parkinson Avenue","3","238421","0.00"
"Beach 34 Street","1","238421","0.00"
"Park Hill Ln","1","238421","0.00"
"Steinway Avenue","1","238421","0.00"
"Niagara Street","1","238421","0.00"
"Jerome Ave","5","238421","0.00"
"Wright Street","8","238421","0.00"
"Rock Street","1","238421","0.00"
"113 Road","2","238421","0.00"
"Norton Ave","1","238421","0.00"
"Weldon Street","4","238421","0.00"
"Regina Avenue","4","238421","0.00"
"Hett Avenue","3","238421","0.00"
"Charleston Avenue","1","238421","0.00"
"Sagamore Street","5","238421","0.00"
"97 Place","10","238421","0.00"
"Eldert Ln","1","238421","0.00"
"Hillbrook Drive","1","238421","0.00"
"West 228 Street","9","238421","0.00"
"Ditmas Av","1","238421","0.00"
"Scheffelin Avenue","1","238421","0.00"
"West 7Th Ave","1","238421","0.00"
"Macy Place","1","238421","0.00"
"Putnam Avenue West","6","238421","0.00"
"Wanamaker Place","5","238421","0.00"
"Arlo Road","4","238421","0.00"
"Brighton Avenue","8","238421","0.00"
"Chisholm Street","7","238421","0.00"
"Eastern Road","1","238421","0.00"
"Paerdegat 4 Street","1","238421","0.00"
"Unisphere Prom","1","238421","0.00"
"Croft Place","2","238421","0.00"
"Bay 44 Street","3","238421","0.00"
"Old Fulton Street","4","238421","0.00"
"Rumpler Court","2","238421","0.00"
"Beach 8 Street","1","238421","0.00"
"Old Fulton St","1","238421","0.00"
"South 5 Place","4","238421","0.00"
"Kings Plaza","7","238421","0.00"
"Emerson Avenue","2","238421","0.00"
"W 174 Street","1","238421","0.00"
"Kenilworth Place","10","238421","0.00"
"Poillon Avenue","2","238421","0.00"
"Zoller Road","1","238421","0.00"
"Atlantic Ave","1","238421","0.00"
"Shaughnessy Road","1","238421","0.00"
"Hurlbert Street","2","238421","0.00"
"Middagh Street","8","238421","0.00"
"Morris Street","9","238421","0.00"
"Sandalwood Drive","1","238421","0.00"
"Ellison Avenue","1","238421","0.00"
"Coryn Court","1","238421","0.00"
"Wild Avenue","6","238421","0.00"
"Smith Place","6","238421","0.00"
"Van Sicklen Street","10","238421","0.00"
"114 Terrace","1","238421","0.00"
"45 Road","11","238421","0.00"
"Pond Way","2","238421","0.00"
"133 Road","2","238421","0.00"
"Milford Avenue","1","238421","0.00"
"Eylandt Street","1","238421","0.00"
"Corbin Drive","1","238421","0.00"
"Peck Avenue","10","238421","0.00"
"Baisley Avenue","3","238421","0.00"
"78 Drive","2","238421","0.00"
"Benson St","1","238421","0.00"
"38 Road","1","238421","0.00"
"West 27 Drive","2","238421","0.00"
"Hanover Square","7","238421","0.00"
"Fraser Street","2","238421","0.00"
"163Rd Street And 3Rd Avenue","1","238421","0.00"
"Vespa Avenue","2","238421","0.00"
"Stratford Road","8","238421","0.00"
"Williamson Avenue","2","238421","0.00"
"Bridgewater Street","4","238421","0.00"
"Mcbaine Avenue","4","238421","0.00"
"Platinum Avenue","8","238421","0.00"
"Meyer Avenue","3","238421","0.00"
"Navy Walk","1","238421","0.00"
"Catherine Lane","1","238421","0.00"
"Anthony Street","3","238421","0.00"
"Beach 134 Street","2","238421","0.00"
"Bruckner Expressway Service Ramp","1","238421","0.00"
"Beach 129 Street","9","238421","0.00"
"Kane Place","1","238421","0.00"
"Si Expy West Ex Ramp","3","238421","0.00"
"Weaver Street","1","238421","0.00"
"Cross Bay Pkwy","1","238421","0.00"
"Hyatt Street","5","238421","0.00"
"Beach 66 Street","5","238421","0.00"
"Beach 104 Street","4","238421","0.00"
"Highland Lane","1","238421","0.00"
"86 Drive","2","238421","0.00"
"Markwood Road","4","238421","0.00"
"Montauk Court","2","238421","0.00"
"Dunton Street","3","238421","0.00"
"Tynan Street","4","238421","0.00"
"Lisk Avenue","5","238421","0.00"
"Fahy Avenue","6","238421","0.00"
"Seminole Street","1","238421","0.00"
"Park Street","4","238421","0.00"
"West 261 Street","11","238421","0.00"
"Puritan Avenue","2","238421","0.00"
"34 Road","9","238421","0.00"
"St Albans Place","1","238421","0.00"
"Larue Avenue","1","238421","0.00"
"Beach 126 Street","2","238421","0.00"
"265 Street","3","238421","0.00"
"Clawson Street","11","238421","0.00"
"Van Cortlandt Park South","11","238421","0.00"
"Queens Midtown Expressway Fontag","1","238421","0.00"
"James Street","2","238421","0.00"
"Gerry Street","9","238421","0.00"
"Pulaski Bridge","9","238421","0.00"
"Mcdonald Street","1","238421","0.00"
"Wilcox Street","7","238421","0.00"
"Beach 43 Street","10","238421","0.00"
"Congress Street","5","238421","0.00"
"Terminal Market Loading Dock","1","238421","0.00"
"Oliver Street","10","238421","0.00"
"Manning Street","3","238421","0.00"
"Whitestone Expressway Service Ro","1","238421","0.00"
"Stobe Avenue","1","238421","0.00"
"Gail Court","1","238421","0.00"
"Uxbridge Street","1","238421","0.00"
"64 Lane","2","238421","0.00"
"Terrace","1","238421","0.00"
"Theresa Place","1","238421","0.00"
"Station Road","9","238421","0.00"
"Surf Road","1","238421","0.00"
"Major Avenue","7","238421","0.00"
"Caney Road","1","238421","0.00"
